id_origin,id_destino,times
102 Manhattan,101 Manhattan,83
102 Manhattan,106 Manhattan,85
102 Manhattan,107 Manhattan,50
102 Manhattan,108 Manhattan,78
102 Manhattan,109 Manhattan,7
102 Manhattan,110 Manhattan,5
102 Manhattan,111 Manhattan,5
102 Manhattan,112 Manhattan,8
103 Manhattan,101 Manhattan,47
103 Manhattan,104 Manhattan,83
103 Manhattan,107 Manhattan,45
103 Manhattan,108 Manhattan,62
103 Manhattan,109 Manhattan,6
103 Manhattan,110 Manhattan,8
103 Manhattan,112 Manhattan,5
103 Manhattan,164 Manhattan,6
104 Manhattan,101 Manhattan,43
104 Manhattan,102 Manhattan,96
104 Manhattan,103 Manhattan,63
104 Manhattan,106 Manhattan,69
104 Manhattan,107 Manhattan,89
104 Manhattan,108 Manhattan,71
105 Manhattan,101 Manhattan,58
105 Manhattan,103 Manhattan,51
105 Manhattan,107 Manhattan,80
106 Manhattan,101 Manhattan,31
106 Manhattan,102 Manhattan,61
106 Manhattan,103 Manhattan,47
106 Manhattan,104 Manhattan,88
106 Manhattan,107 Manhattan,42
106 Manhattan,112 Manhattan,7
107 Manhattan,101 Manhattan,7
107 Manhattan,104 Manhattan,81
107 Manhattan,109 Manhattan,32
107 Manhattan,111 Manhattan,31
107 Manhattan,164 Manhattan,35
108 Manhattan,104 Manhattan,42
108 Manhattan,107 Manhattan,92
108 Manhattan,111 Manhattan,48
108 Manhattan,164 Manhattan,42
109 Manhattan,104 Manhattan,8
109 Manhattan,105 Manhattan,7
109 Manhattan,108 Manhattan,5
109 Manhattan,110 Manhattan,7
110 Manhattan,104 Manhattan,7
110 Manhattan,105 Manhattan,4
110 Manhattan,107 Manhattan,8
110 Manhattan,108 Manhattan,7
110 Manhattan,109 Manhattan,6
111 Manhattan,104 Manhattan,5
111 Manhattan,106 Manhattan,8
111 Manhattan,108 Manhattan,32
111 Manhattan,110 Manhattan,6
112 Manhattan,110 Manhattan,4
164 Manhattan,102 Manhattan,5
164 Manhattan,108 Manhattan,33
101 Manhattan,102 Manhattan,63
101 Manhattan,103 Manhattan,30
101 Manhattan,105 Manhattan,53
101 Manhattan,107 Manhattan,7
